generation,params,T,target_distance,dead,convexity
-1,"[4.977680192642012, 6.436402193909942, 5.094750943074225, 1.6820815801861322, 7.490253407764822, 9.917174340739788, 7.703293631175915, 1.8148120911945609, 0.1197699009894623, 1e-06, 9.100974419525484, 7.491846846919662, 8.32372078291719, 3.1430063830346455, 8.30749772401682, 2.2197764623967746, 2.1307995357760596]","[2726.0, 3000.0, 3000.0]","[41.92605498472341, 240.67028252277623, 455.0841967007455]","[0.0, 1.0, 1.0]","[0.0, 0.006843274687014226, 0.01047062479862167]"
-1,"[4.070789565214696, 0.0038289436747096506, 8.455178161638099, 1.6113245334394066, 8.174755144248623, 7.080375711463896, 7.7026000297146116, 5.99993166737686, 0.9614675243786862, 1e-06, 4.970104003740202, 3.383387151389984, 8.199255190622718, 4.403966958187514, 8.189076471100012, 2.2066204295723675, 2.6942039126325312]","[1832.0, 3000.0, 3000.0]","[41.07013541224788, 231.56797162917465, 452.82595726981145]","[0.0, 1.0, 1.0]","[0.0, 0.26649379162996084, 0.021663279526724512]"
-1,"[4.381688926061602, 1.260458531287345, 2.0303198078781683, 8.415427418631351, 5.607027184415395, 4.530772106203595, 8.461328224507653, 5.753746650591522, 0.6337168435741932, 1e-06, 7.1395908757231235, 2.651127417398783, 3.0679581583320403, 6.395707676231924, 7.367736027627966, 5.541597980293332, 2.214049208169943]","[1705.0, 2744.0, 3000.0]","[41.47696097257076, 138.55695502582068, 394.2910174597263]","[0.0, 0.6, 1.0]","[0.0, 1.7446898186944924, 0.3917426670527464]"
-1,"[6.342142760246357, 9.385529341093902, 2.581863842453116, 2.924804596307673, 5.979508084274578, 6.998250211170117, 9.900555533230705, 5.881996127046236, 0.8878995090635765, 1e-06, 4.727789268321195, 3.0554859917165245, 5.451257046676875, 8.21707433797784, 2.597581425881023, 2.8575543769842464, 1.3403566778343017]","[2429.0, 3000.0, 3000.0]","[41.72950795096591, 144.71946268084545, 433.6531688822761]","[0.0, 1.0, 1.0]","[0.0, 1.3936264462751626, 0.08568277078298647]"
-1,"[6.689134401421514, 3.714049470154468, 2.065026785828307, 3.307044032080019, 3.5714069369059698, 6.055748874288405, 8.112159825331954, 4.4579246119069085, 0.44731070668310563, 1e-06, 2.78977744176579, 0.7517059236959239, 3.334168639795194, 8.908684638808879, 7.428858312809449, 7.737232184077107, 1.8544325339693841]","[3000.0, 3000.0, 3000.0]","[48.46866724621766, 212.7690631906742, 395.08579085577264]","[0.0, 1.0, 1.0]","[0.0, 1.9792018557637452, 0.7591046346191285]"
-1,"[3.6528645954502705, 9.13217542315818, 4.333878909876069, 9.256518130836788, 9.729576532920156, 3.046256755927022, 4.329305855133808, 5.831126288435887, 0.3488282233955242, 1e-06, 3.5582164057564083, 2.310329520697247, 3.182260710984516, 7.84947199894594, 9.986641905365508, 2.224280046856605, 8.72040803729509]","[650.0, 3000.0, 3000.0]","[44.45061456064939, 143.88948179778035, 392.14696234320917]","[0.0, 1.0, 1.0]","[0.0, 0.3038938753853519, 0.27938365570865]"
-1,"[5.443049309704545, 0.19519958823183248, 0.6881640857365579, 5.2544948107749025, 3.7319214450949283, 5.071981993621803, 2.7483440401180403, 9.706057075617613, 0.46966701527168436, 1e-06, 9.382420995179428, 9.667266721638129, 8.035799179851105, 3.095032258567059, 9.009090868986506, 2.4831942558671654, 7.296165606578386]","[2785.0, 3000.0, 3000.0]","[42.32018232851626, 260.4955512167995, 456.4204956990551]","[0.0, 1.0, 1.0]","[0.0, 0.005248894004285879, 0.005804059578764028]"
-1,"[7.214887283519693, 6.531640777505398, 7.6697313263097655, 8.118302554393782, 6.231630784788654, 6.392344255904067, 0.9738624473422608, 3.708627664523175, 0.8861344066936595, 1e-06, 7.489151442879432, 8.066296844907, 4.375974808560532, 8.116821201552442, 6.916116364732406, 7.9667095837314275, 3.297187456978287]","[2147.0, 3000.0, 3000.0]","[41.469472803331676, 200.18174801705507, 432.67397784108744]","[0.0, 0.6, 1.0]","[0.0, 2.4399323946180944, 1.0926942263284944]"
-1,"[7.56749996221688, 8.439536221560056, 3.790726428075412, 2.236880773986134, 5.577696812781423, 7.569809162993031, 2.573873511452943, 8.584989326905193, 0.2951921852667681, 1e-06, 3.2104380388114695, 5.043224636941246, 9.119286042699642, 5.883173384540239, 6.617696612077123, 3.3311830418434902, 3.6323037791189234]","[2786.0, 3000.0, 3000.0]","[42.10861779555129, 255.24391289084792, 445.08259781578107]","[0.0, 1.0, 1.0]","[0.0, 0.021834490640087533, 0.04596538233252812]"
-1,"[0.614140214933595, 5.197664884520465, 4.4915414462979655, 2.9898286145862576, 4.210139748535337, 5.384646046415697, 2.9485052230878517, 3.6253769582016258, 0.808754252205918, 1e-06, 9.150333309192447, 4.215556788341992, 9.289132583873808, 6.69662074177449, 9.969499899250955, 2.5836154299830283, 7.788400590206347]","[2634.0, 3000.0, 3000.0]","[42.11318921886226, 253.70410329784502, 441.8458300801636]","[0.0, 1.0, 1.0]","[0.0, 0.09029797750184154, 0.12882385682162553]"
